SR NO.,11 Comae Berenices b,305.0,6165.32,4.74,2007,Gas Giant,12.096,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0,Gravitation_value
1057,K2-133 b,245.0,750.008,14.288,2017,Super Earth,15.008,0.03194 AU,3.1 days,0.0,K2-132,Transit,,,12h08m39.94s,-08d44m49.8s,4840.0,1.08,3.85,32.697236229111674
1058,K2-133 c,245.0,1016.96,14.288,2017,Super Earth,17.953599999999998,0.04341 AU,4.9 days,0.0,K2-133,Transit,87.6,,04h40m35.66s,+25d00m36.0s,3655.0,0.46,0.46,30.980724686257478
1059,K2-133 d,245.0,1484.126,14.288,2017,Super Earth,22.4336,0.07487 AU,11 days,0.0,K2-133,Transit,88.21,,04h40m35.66s,+25d00m36.0s,3655.0,0.46,0.46,28.957670407311703
1060,K2-133 e,245.0,1156.7920000000001,14.288,2019,Super Earth,19.375999999999998,0.1346 AU,26.6 days,0.0,K2-133,Transit,89.4,,04h40m35.66s,+25d00m36.0s,3655.0,0.46,0.46,30.25643922788089
1061,K2-136 b,194.0,297.77860000000004,10.855,2017,Terrestrial,11.088,Unknown,8 days,0.1,K2-133,Transit,89.164,,04h40m35.66s,+25d00m36.0s,3655.0,0.46,0.46,23.783613596370472
1063,K2-136 d,194.0,858.0600000000001,10.855,2017,Super Earth,16.24,Unknown,25.6 days,0.14,K2-136,Transit,89.6,,04h29m38.99s,+22d52m57.8s,4499.0,0.74,0.66,31.947464662141716
1064,K2-137 b,323.0,158.9,15.498,2017,Terrestrial,9.968,0.0058 AU,0.2 days,0.0,K2-136,Transit,89.4,,04h29m38.99s,+22d52m57.8s,4499.0,0.74,0.66,15.70357849788722
1065,K2-138 b,597.0,982.002,12.21,2017,Super Earth,17.584,0.0338 AU,2.4 days,< 0.403,K2-137,Transit,89.6,,12h27m28.97s,-06d11m42.8s,3492.0,0.46,0.44,31.186584439178286
1071,K2-13 b,1128.0,1344.294,12.901,2015,Super Earth,21.168,0.2114 AU,39.9 days,0.0,K2-139,Transit,,,19h16m15.97s,-17d54m38.5s,5370.0,0.96,0.88,29.45950178000977
1073,K2-141 b,202.0,1614.424,11.389000000000001,2018,Super Earth,16.912,0.00716 AU,0.3 days,0.0,K2-140,Transit,,,12h32m32.96s,-09d36m27.5s,5705.0,1.0,0.99,55.426627782234505
1075,K2-146 b,259.0,1833.706,16.248,2018,Super Earth,22.959999999999997,0.0259 AU,2.6 days,0.13,K2-141,Transit,87.2,,23h23m39.97s,-01d11m21.4s,4599.0,0.71,0.68,34.156764843582735
1076,K2-146 c,259.0,2380.322,16.248,2019,Super Earth,24.528,Unknown,4 days,0.08,K2-146,Transit,88.93,3.69,08h40m06.43s,+19d05m34.4s,3385.0,0.33,0.33,38.85100223766883
1077,K2-147 b,287.0,788.144,14.019,2018,Super Earth,15.455999999999998,0.0159 AU,1 days,0.0,K2-146,Transit,87.54,3.92,08h40m06.43s,+19d05m34.4s,3385.0,0.33,0.33,32.39680238382445
